1Ground,SUPPORT,11,45.50%,2.1,0.8,3.8,7.1,0.9,236,10.3
,,,,,,,,,,
369,TOP,33,57.60%,3.4,3,2.6,5.7,7.9,389,24.1
,,,,,,,,,,
3z,TOP,20,35%,1.4,1.6,3.7,3.5,7.9,361,25.7
,,,,,,,,,,
5fire,MID,12,66.70%,2.9,3.1,3.1,5.9,7.3,361,30.4
,,,,,,,,,,
705,TOP,20,50%,2.3,1.6,3.2,5.8,7.2,343,21.6
,,,,,,,,,,
ADD,TOP,8,37.50%,2.5,2.1,3.4,6.4,6.3,335,21.9
,,,,,,,,,,
AHaHaCiK,JUNGLE,15,86.70%,5.7,4.5,2.1,7.5,5.6,390,18.3
,,,,,,,,,,
ALL IN,MID,11,54.50%,4.8,3.4,1.5,3.6,8,370,21.1
,,,,,,,,,,
Abbedagge,MID,18,33.30%,2.9,4.2,2.8,4.1,9.3,417,34.6
,,,,,,,,,,
Ablazeolive,MID,18,44.40%,2.6,2.6,3.2,5.7,8,368,31.9
,,,,,,,,,,
Absolut,ADC,15,66.70%,5.9,4.4,2,7.4,8.7,428,25.5
,,,,,,,,,,
Absolute,ADC,2,0%,1,1,4.5,3.5,6.2,316,13.7
,,,,,,,,,,
Absolute,SUPPORT,13,76.90%,4.5,1,2.7,11.2,1,251,10.6
,,,,,,,,,,
Acce,TOP,14,71.40%,3.7,2.1,1.9,5.1,8.1,382,23
,,,,,,,,,,
Ace,MID,21,66.70%,5.4,2.7,1.6,6,7.3,357,24.8
,,,,,,,,,,
Acefos,TOP,17,47.10%,1.8,2.2,4.2,5.5,6.9,342,22.2
,,,,,,,,,,
Achuu,ADC,2,50%,3.7,7,3.5,6,8.8,452,32.8
,,,,,,,,,,
Acidy,TOP,18,27.80%,1.9,1.7,3.5,4.8,7.7,365,26
,,,,,,,,,,
Aesenar,SUPPORT,26,42.30%,3.5,0.6,1.8,5.7,0.8,219,9.5
,,,,,,,,,,
Afm,SUPPORT,3,33.30%,2.5,0.7,2,4.3,1.6,247,24.8
,,,,,,,,,,
Afm,ADC,22,72.70%,6.5,5.2,1.9,7,8.6,425,30.8
,,,,,,,,,,
Agresivoo,TOP,18,61.10%,3.4,2.3,2.4,6,8.1,397,19.6
,,,,,,,,,,
Agurin,JUNGLE,24,62.50%,3,3.8,3.7,7.2,6.5,372,21.5
,,,,,,,,,,
Aiming,ADC,39,48.70%,5.5,4,1.4,3.7,10.5,461,35
,,,,,,,,,,
Aiming,SUPPORT,4,100%,12,2.8,0.8,6.3,2.1,333,25.2
,,,,,,,,,,
Aix,JUNGLE,29,55.20%,3.9,2.6,2.2,6.2,5.5,331,15.4
,,,,,,,,,,
Aizhon,SUPPORT,21,42.90%,5.4,0.5,1.7,8.6,1.1,223,7.3
,,,,,,,,,,
Akaadian,JUNGLE,20,65%,5.1,3.7,2.1,6.9,5.4,336,13.8
,,,,,,,,,,
Akeno,SUPPORT,9,22.20%,1.4,1.3,4.1,4.6,0.9,227,10.3
,,,,,,,,,,
Algos,SUPPORT,10,40%,3.2,0.7,2.6,7.5,0.9,213,7.2
,,,,,,,,,,
Aliez,TOP,24,4.20%,1.2,1.8,3.6,2.8,7.1,331,19.9
,,,,,,,,,,
Alive,SUPPORT,1,100%,4,4,3,8,2.6,327,27.3
,,,,,,,,,,
Alive,ADC,13,76.90%,4.6,5.8,2.5,5.5,10.2,472,29
,,,,,,,,,,
Alois,TOP,9,77.80%,6,3.8,1.7,6.2,9.8,459,26.6
,,,,,,,,,,
Aloned,MID,15,53.30%,3.4,3.6,2.9,6.3,7.4,374,27.4
,,,,,,,,,,
Alphari,TOP,30,60%,4.1,2.9,1.8,4.7,8.3,403,22.8
,,,,,,,,,,
Altec,ADC,18,33.30%,2.2,2.6,2.6,3,8.8,393,26.2
,,,,,,,,,,
Alternative,ADC,12,41.70%,2.8,2.6,2.6,4.8,8.9,409,27.7
,,,,,,,,,,
Alternative,SUPPORT,2,100%,-,6.5,0,11.5,2.1,373,24.6
,,,,,,,,,,
AnDa,JUNGLE,23,73.90%,6.8,3.7,1.7,8,5.5,335,13.9
,,,,,,,,,,
Angel,MID,38,44.70%,4.6,4.2,2.2,6,7.8,386,26.4
,,,,,,,,,,
Annyeong,SUPPORT,11,27.30%,2.4,0.6,3.9,8.8,0.9,217,9.1
,,,,,,,,,,
Annyeong,MID,6,33.30%,1.9,3,3.5,3.7,8.6,402,27.3
,,,,,,,,,,
Anyyy,MID,15,46.70%,4.5,3.1,2,5.9,7.8,372,29.9
,,,,,,,,,,
Aodi,TOP,17,64.70%,4.9,3.1,1.8,5.6,7,370,21.9
,,,,,,,,,,
Aoi Haru,TOP,15,26.70%,2.2,2.1,3.3,5.3,7,346,20.5
,,,,,,,,,,
Aoric,TOP,1,0%,1.8,0,5,9,3.3,236,9.4
,,,,,,,,,,
Aphromoo,SUPPORT,20,45%,2.5,0.6,2.6,5.7,1,217,5.8
,,,,,,,,,,
Api,SUPPORT,18,33.30%,1.8,0.2,3.8,6.8,1,214,6.2
,,,,,,,,,,
Api,TOP,7,42.90%,3,1.7,2.3,5.1,8.1,369,18.3
,,,,,,,,,,
Apollo,ADC,19,47.40%,7.5,3.6,1.2,5.1,9.3,416,28.4
,,,,,,,,,,
Appen,JUNGLE,8,50%,4.1,5.9,2.9,5.9,5.9,380,21.2
,,,,,,,,,,
Apples,MID,14,21.40%,2.4,2.6,2.8,4,8.3,374,27.8
,,,,,,,,,,
Aquasonic,TOP,14,42.90%,1.7,0.9,2.9,3.9,7.1,326,18.3
,,,,,,,,,,
Archer,SUPPORT,4,100%,20,2.8,0.5,7.3,2.7,336,27.1
,,,,,,,,,,
Archer,ADC,17,58.80%,4.7,3.8,2.2,6.4,9.6,442,30.4
,,,,,,,,,,
Aria,MID,25,44%,5.5,4.3,1.7,4.9,9.1,416,30.8
,,,,,,,,,,
